n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
1.000e+02	2.510e+00	2.320e+00	3.068e+00	1.177e+00	8.213e-01	1.499e+00	8.938e-01	6.577e-01	1.505e+00
2.000e+02	2.468e+00	2.222e+00	2.973e+00	1.258e+00	9.372e-01	1.875e+00	1.151e+00	9.162e-01	1.310e+00
3.000e+02	2.581e+00	2.320e+00	2.973e+00	1.040e+00	7.250e-01	1.858e+00	1.151e+00	9.340e-01	1.461e+00
4.000e+02	2.862e+00	2.408e+00	3.119e+00	1.187e+00	7.973e-01	1.858e+00	1.151e+00	9.340e-01	1.440e+00
5.000e+02	2.910e+00	2.424e+00	3.170e+00	1.274e+00	9.473e-01	1.674e+00	1.151e+00	8.464e-01	1.440e+00
6.000e+02	2.737e+00	2.320e+00	3.110e+00	1.274e+00	1.053e+00	1.674e+00	1.162e+00	8.764e-01	1.440e+00
7.000e+02	2.779e+00	2.408e+00	3.110e+00	1.285e+00	1.102e+00	1.674e+00	1.151e+00	8.938e-01	1.440e+00
8.000e+02	2.737e+00	2.320e+00	3.073e+00	1.298e+00	1.127e+00	1.674e+00	1.232e+00	9.340e-01	1.440e+00
9.000e+02	2.776e+00	2.408e+00	3.110e+00	1.274e+00	1.109e+00	1.672e+00	1.185e+00	9.750e-01	1.440e+00
1.000e+03	2.737e+00	2.408e+00	3.049e+00	1.274e+00	1.109e+00	1.672e+00	1.185e+00	9.750e-01	1.440e+00
1.100e+03	2.776e+00	2.424e+00	3.049e+00	1.298e+00	1.109e+00	1.615e+00	1.185e+00	9.750e-01	1.367e+00
1.200e+03	2.776e+00	2.408e+00	3.099e+00	1.299e+00	1.140e+00	1.615e+00	1.232e+00	9.970e-01	1.440e+00
1.300e+03	2.776e+00	2.408e+00	3.099e+00	1.299e+00	1.120e+00	1.615e+00	1.232e+00	1.070e+00	1.367e+00
1.400e+03	2.743e+00	2.408e+00	3.099e+00	1.304e+00	1.155e+00	1.672e+00	1.232e+00	1.070e+00	1.367e+00
1.500e+03	2.692e+00	2.311e+00	3.099e+00	1.355e+00	1.227e+00	1.674e+00	1.232e+00	1.070e+00	1.367e+00
1.600e+03	2.743e+00	2.311e+00	3.110e+00	1.367e+00	1.227e+00	1.737e+00	1.225e+00	1.070e+00	1.367e+00
1.700e+03	2.743e+00	2.311e+00	3.110e+00	1.367e+00	1.227e+00	1.737e+00	1.187e+00	1.045e+00	1.367e+00
1.800e+03	2.749e+00	2.311e+00	3.110e+00	1.411e+00	1.227e+00	1.737e+00	1.185e+00	9.750e-01	1.367e+00
1.900e+03	2.758e+00	2.311e+00	3.110e+00	1.506e+00	1.274e+00	1.778e+00	1.151e+00	9.659e-01	1.276e+00
2.000e+03	2.758e+00	2.408e+00	3.110e+00	1.506e+00	1.274e+00	1.778e+00	1.151e+00	9.659e-01	1.276e+00
2.100e+03	2.758e+00	2.424e+00	3.119e+00	1.506e+00	1.274e+00	1.778e+00	1.114e+00	9.525e-01	1.255e+00
2.200e+03	2.749e+00	2.424e+00	3.110e+00	1.545e+00	1.274e+00	1.793e+00	1.070e+00	9.327e-01	1.251e+00
2.300e+03	2.749e+00	2.424e+00	3.110e+00	1.545e+00	1.274e+00	1.793e+00	1.083e+00	9.349e-01	1.251e+00
2.400e+03	2.749e+00	2.424e+00	3.110e+00	1.545e+00	1.274e+00	1.793e+00	1.083e+00	9.349e-01	1.251e+00
2.500e+03	2.901e+00	2.578e+00	3.264e+00	1.545e+00	1.285e+00	1.793e+00	1.066e+00	9.349e-01	1.251e+00
2.600e+03	2.901e+00	2.578e+00	3.264e+00	1.545e+00	1.285e+00	1.793e+00	1.066e+00	9.349e-01	1.251e+00
2.700e+03	2.961e+00	2.578e+00	3.296e+00	1.545e+00	1.285e+00	1.793e+00	1.045e+00	9.327e-01	1.225e+00
2.800e+03	2.961e+00	2.578e+00	3.296e+00	1.459e+00	1.274e+00	1.778e+00	1.045e+00	9.327e-01	1.225e+00
2.900e+03	2.961e+00	2.578e+00	3.296e+00	1.455e+00	1.230e+00	1.737e+00	9.965e-01	9.291e-01	1.225e+00
3.000e+03	2.961e+00	2.577e+00	3.296e+00	1.455e+00	1.227e+00	1.737e+00	1.066e+00	9.291e-01	1.251e+00
3.100e+03	2.961e+00	2.479e+00	3.296e+00	1.455e+00	1.227e+00	1.760e+00	1.066e+00	9.291e-01	1.251e+00
3.200e+03	2.961e+00	2.479e+00	3.296e+00	1.455e+00	1.227e+00	1.760e+00	1.066e+00	9.291e-01	1.251e+00
3.300e+03	2.961e+00	2.479e+00	3.296e+00	1.455e+00	1.227e+00	1.760e+00	9.965e-01	8.985e-01	1.242e+00
3.400e+03	2.961e+00	2.479e+00	3.296e+00	1.459e+00	1.227e+00	1.760e+00	9.965e-01	8.985e-01	1.242e+00
3.500e+03	2.749e+00	2.424e+00	3.296e+00	1.459e+00	1.227e+00	1.760e+00	9.965e-01	8.985e-01	1.242e+00
3.600e+03	2.692e+00	2.311e+00	3.264e+00	1.545e+00	1.274e+00	1.760e+00	9.965e-01	8.985e-01	1.242e+00
3.700e+03	2.692e+00	2.311e+00	3.264e+00	1.550e+00	1.298e+00	1.760e+00	9.965e-01	8.985e-01	1.242e+00
3.800e+03	2.749e+00	2.311e+00	3.246e+00	1.552e+00	1.307e+00	1.778e+00	9.965e-01	8.985e-01	1.242e+00
3.900e+03	3.005e+00	2.311e+00	3.246e+00	1.623e+00	1.307e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.000e+03	3.005e+00	2.311e+00	3.246e+00	1.672e+00	1.354e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.100e+03	3.005e+00	2.311e+00	3.246e+00	1.672e+00	1.354e+00	1.793e+00	9.965e-01	8.985e-01	1.242e+00
4.200e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.411e+00	1.799e+00	9.918e-01	8.332e-01	1.242e+00
4.300e+03	3.005e+00	2.311e+00	3.246e+00	1.730e+00	1.411e+00	1.793e+00	9.965e-01	8.985e-01	1.255e+00
4.400e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.500e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.600e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	9.965e-01	8.985e-01	1.255e+00
4.700e+03	3.005e+00	2.311e+00	3.246e+00	1.737e+00	1.455e+00	1.799e+00	1.024e+00	9.291e-01	1.255e+00
4.800e+03	3.005e+00	2.311e+00	3.246e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
4.900e+03	2.749e+00	2.308e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.000e+03	2.749e+00	2.308e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.100e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.200e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.300e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.400e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.500e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.600e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.700e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.800e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
5.900e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.000e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.100e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.545e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.200e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	1.024e+00	9.291e-01	1.255e+00
6.300e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	9.965e-01	8.985e-01	1.255e+00
6.400e+03	2.692e+00	2.262e+00	3.174e+00	1.743e+00	1.459e+00	1.813e+00	9.965e-01	8.985e-01	1.255e+00
6.500e+03	2.692e+00	2.262e+00	3.174e+00	1.749e+00	1.459e+00	1.858e+00	9.965e-01	8.985e-01	1.255e+00
6.600e+03	2.692e+00	2.262e+00	3.174e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.700e+03	2.692e+00	2.262e+00	3.174e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.800e+03	2.749e+00	2.262e+00	3.246e+00	1.760e+00	1.459e+00	1.916e+00	9.965e-01	8.985e-01	1.255e+00
6.900e+03	2.749e+00	2.311e+00	3.246e+00	1.768e+00	1.459e+00	1.971e+00	9.965e-01	8.985e-01	1.255e+00
7.000e+03	2.749e+00	2.311e+00	3.246e+00	1.768e+00	1.459e+00	1.971e+00	9.965e-01	8.985e-01	1.255e+00
7.100e+03	2.749e+00	2.311e+00	3.246e+00	1.760e+00	1.455e+00	1.916e+00	1.024e+00	9.291e-01	1.273e+00
7.200e+03	3.000e+00	2.424e+00	3.296e+00	1.760e+00	1.455e+00	1.916e+00	1.024e+00	9.291e-01	1.273e+00
7.300e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.971e+00	1.024e+00	9.291e-01	1.273e+00
7.400e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.971e+00	1.024e+00	9.291e-01	1.273e+00
7.500e+03	3.005e+00	2.482e+00	3.369e+00	1.768e+00	1.459e+00	1.990e+00	1.024e+00	9.291e-01	1.273e+00
7.600e+03	3.005e+00	2.482e+00	3.369e+00	1.778e+00	1.545e+00	2.024e+00	1.024e+00	9.291e-01	1.273e+00
7.700e+03	3.005e+00	2.479e+00	3.369e+00	1.768e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
7.800e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
7.900e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.000e+03	3.005e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.100e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.200e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.300e+03	3.086e+00	2.479e+00	3.369e+00	1.760e+00	1.455e+00	1.990e+00	9.965e-01	8.802e-01	1.255e+00
8.400e+03	3.086e+00	2.479e+00	3.369e+00	1.778e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
8.500e+03	3.086e+00	2.479e+00	3.369e+00	1.778e+00	1.455e+00	2.024e+00	9.965e-01	8.802e-01	1.255e+00
8.600e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.700e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.800e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
8.900e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.000e+03	3.086e+00	2.479e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.100e+03	3.086e+00	2.424e+00	3.369e+00	1.793e+00	1.525e+00	2.133e+00	9.965e-01	8.802e-01	1.255e+00
9.200e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.300e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
9.400e+03	3.086e+00	2.424e+00	3.369e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
